radar,track_number,utctimestr,gps_epoch,CntrdLatRng,CntrdLatRRat,CntrdLatAcel,CntrdLngRng,CntrdLngRRat,CntrdLngAcel,CoNrstFcLatRng,CoNrstFcLatRRat,CoNrstFcLatAcel,CoNrstFcLngRng,CoNrstFcLngRRat,CoNrstFcLngAcel,NrstFacTyp,Width,DynamProp,MeasStat,ObjElevtn,ObjID,BurstID,CntrdHeight,RTK_X_M,RTK_Y_M,RTK_Z_M,RTK_EASTING_M,RTK_NORTHING_M,RTK_ALT_M
LF,1,2017-May-19 10:24:26.535284425,1495189484.5352845,3.6600000000000001,3.875,-6.375,19.420000000000002,12.0,6.375,3.6800000000000002,3.375,-6.375,17.420000000000002,12.0,6.375,0,1.5800000000000001,3,3,3,30.0,-1,1.0,19.870000000000001,3.5670000000000002,-0.84400000000000008,300016.62418900791,4701260.1320542423,247.18852691562336
LF,1,2017-May-19 10:24:26.575281600,1495189484.5752816,3.7000000000000002,3.75,-6.75,20.239999999999998,11.625,5.875,3.73,3.25,-6.75,18.25,11.625,5.875,0,1.5800000000000001,3,3,3,30.0,-1,1.0,20.689999999999998,3.6070000000000002,-0.84400000000000008,300015.93849927984,4701261.498550822,247.17677437694198
LF,1,2017-May-19 10:24:26.855261875,1495189484.8552618,3.0499999999999998,4.0,-6.625,22.09,12.625,5.75,3.0699999999999998,3.5,-6.625,20.100000000000001,12.625,5.75,0,1.5800000000000001,3,3,0,4.0,-1,1.0,22.539999999999999,2.9569999999999999,-0.84400000000000008,300014.26793368801,4701268.3509628829,247.24957925009846
LF,1,2017-May-19 10:24:26.875260450,1495189484.8752604,3.1200000000000001,3.75,-6.875,22.579999999999998,12.375,5.5,3.1400000000000001,3.25,-6.875,20.600000000000001,12.25,5.5,0,1.5800000000000001,3,3,3,4.0,-1,1.0,23.029999999999998,3.0270000000000001,-0.84400000000000008,300013.88716739224,4701269.0990499845,247.23986548642162
LF,1,2017-May-19 10:24:27.105244275,1495189485.1052442,3.4300000000000002,4.0,-6.25,25.539999999999999,12.125,4.875,3.4500000000000002,3.625,-6.25,23.550000000000001,12.125,4.875,0,1.5800000000000001,3,3,3,5.0,-1,1.0,25.989999999999998,3.3370000000000002,-0.84400000000000008,300011.33743167127,4701275.6294352273,247.16011676983308
LF,2,2017-May-19 10:24:27.105244275,1495189485.1052442,9.7200000000000006,5.75,-5.125,33.770000000000003,11.5,5.375,9.7300000000000004,5.375,-5.125,31.780000000000001,11.5,5.375,0,1.5800000000000001,3,3,3,6.0,-1,1.0,34.220000000000006,9.6270000000000007,-0.84400000000000008,300002.0556048376,4701280.2164021824,246.83696853108177
LF,1,2017-May-19 10:24:27.125242875,1495189485.1252429,3.5299999999999998,3.875,-6.25,25.960000000000001,12.25,5.125,3.5499999999999998,3.5,-6.25,23.969999999999999,12.25,5.125,0,1.5800000000000001,3,3,3,5.0,-1,1.0,26.41,3.4369999999999998,-0.84400000000000008,300010.99006011133,4701276.3155681212,247.1530934765554
LF,2,2017-May-19 10:24:27.125242875,1495189485.1252429,6.5099999999999998,-0.25,-4.75,4.5999999999999996,6.75,3.25,6.54,-0.625,-4.75,2.6000000000000001,6.75,3.25,0,1.6000000000000001,3,3,0,11.0,-1,1.0,5.0499999999999998,6.4169999999999998,-0.84400000000000008,300017.70935263508,4701255.832343149,247.80008861862859
LF,3,2017-May-19 10:24:27.125242875,1495189485.1252429,9.8200000000000003,5.625,-5.125,34.140000000000001,11.5,5.5,9.8399999999999999,5.25,-5.125,32.159999999999997,11.5,5.5,0,1.6599999999999999,3,3,3,6.0,-1,1.0,34.590000000000003,9.7270000000000003,-0.84400000000000008,300001.7450702581,4701280.8878690684,246.83571884476368
LF,1,2017-May-19 10:24:27.165240075,1495189485.16524,3.6099999999999999,3.375,-6.5,26.390000000000001,12.375,5.125,3.6499999999999999,3.0,-6.5,24.41,12.25,5.125,0,1.5800000000000001,3,3,3,5.0,-1,1.0,26.84,3.5169999999999999,-0.84400000000000008,300010.58231511398,4701277.3742074622,247.14702477716554
LF,2,2017-May-19 10:24:27.165240075,1495189485.16524,6.4800000000000004,-0.75,-5.5,4.8799999999999999,6.625,2.875,6.5199999999999996,-1.125,-5.5,2.8999999999999999,6.625,2.875,0,1.6000000000000001,3,3,0,11.0,-1,1.0,5.3300000000000001,6.3870000000000005,-0.84400000000000008,300017.33925150346,4701256.7630019179,247.80960809147746
LF,3,2017-May-19 10:24:27.165240075,1495189485.16524,9.9399999999999995,5.25,-5.375,34.560000000000002,11.75,5.5,9.9700000000000006,4.875,-5.375,32.57,11.75,5.5,0,1.72,3,3,3,6.0,-1,1.0,35.010000000000005,9.8469999999999995,-0.84400000000000008,300001.33381673449,4701281.9772056509,246.83801766255132
LF,1,2017-May-19 10:24:27.205237250,1495189485.2052372,3.6600000000000001,2.875,-6.875,26.84,12.375,5.125,3.7200000000000002,2.5,-6.875,24.859999999999999,12.375,5.125,0,1.5800000000000001,3,3,3,5.0,-1,1.0,27.289999999999999,3.5670000000000002,-0.84400000000000008,300010.20031135529,4701278.4687015526,247.14299010388368
LF,2,2017-May-19 10:24:27.205237250,1495189485.2052372,6.4000000000000004,-1.5,-6.125,5.0700000000000003,6.375,2.5,6.46,-1.875,-6.125,3.1000000000000001,6.375,2.5,0,1.6000000000000001,3,3,3,11.0,-1,1.0,5.5200000000000005,6.3070000000000004,-0.84400000000000008,300017.05969856755,4701257.6376970271,247.82015887101753
LF,3,2017-May-19 10:24:27.205237250,1495189485.2052372,10.039999999999999,4.875,-5.625,35.0,11.875,5.5,10.08,4.5,-5.625,33.009999999999998,11.875,5.5,0,1.74,3,3,3,6.0,-1,1.0,35.450000000000003,9.9469999999999992,-0.84400000000000008,300000.93916653236,4701283.0979274092,246.84055906631087
LF,1,2017-May-19 10:24:27.245234450,1495189485.2452345,3.6899999999999999,2.25,-7.25,27.309999999999999,12.5,5.0,3.7599999999999998,1.875,-7.25,25.329999999999998,12.5,5.0,0,1.5800000000000001,3,3,3,5.0,-1,1.0,27.759999999999998,3.597,-0.84400000000000008,300009.83564070443,4701279.5954442257,247.14854605744341
