# CoordinateSystem: COMPD_CS["SWEREF99 13 30 + RH2000 height",PROJCS["SWEREF99 13 30",GEOGCS["SWEREF99",DATUM["SWEREF99",SPHEROID["GRS 1980",6378137,298.257222101,AUTHORITY["EPSG","7019"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6619"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4619"]],PROJECTION["Transverse_Mercator",AUTHORITY["EPSG","9807"]],PARAMETER["latitude_of_origin",0],PARAMETER["central_meridian",13.5],PARAMETER["scale_factor",1],PARAMETER["false_easting",150000],PARAMETER["false_northing",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","3008"]],VERT_CS["RH2000 height",VERT_DATUM["Rikets hojdsystem 2000",2005,AUTHORITY["EPSG","5208"]],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","5613"]],AUTHORITY["EPSG","5847"]]
#Label	X/Easting	Y/Northing	Z/Altitude	Omega	Phi	Kappa
C_DJI_0437.JPG	60938.390436	6416972.579977	42.742279	-54.556570	-54.457965	-149.921107
C_DJI_0438.JPG	60937.950993	6416971.802031	42.682266	-54.062147	-54.945279	-149.315320
C_DJI_0439.JPG	60937.378162	6416970.953511	42.712251	-53.978288	-55.026201	-149.212928
C_DJI_0440.JPG	60936.031142	6416968.691614	42.732212	-54.228609	-54.783177	-149.518869
C_DJI_0441.JPG	60935.556329	6416968.139508	42.742200	-54.228609	-54.783177	-149.518869
C_DJI_0442.JPG	60934.917760	6416965.585593	42.742168	-53.809300	-55.187786	-149.006902
C_DJI_0443.JPG	60934.333980	6416964.430929	42.722149	-53.978288	-55.026201	-149.212928
C_DJI_0445.JPG	60933.902228	6416961.644028	42.792116	-54.228609	-54.783177	-149.518869
C_DJI_0446.JPG	60933.580558	6416961.276814	42.742109	-54.228609	-54.783177	-149.518869
C_DJI_0447.JPG	60932.598843	6416959.689780	42.732081	-54.062147	-54.945279	-149.315320
C_DJI_0448.JPG	60931.564835	6416958.663201	42.752058	-53.724167	-55.268448	-148.903261
C_DJI_0449.JPG	60931.078460	6416957.589937	42.752041	-53.894007	-55.107037	-149.110123
C_DJI_0450.JPG	60930.954195	6416957.582666	42.752040	-54.145587	-54.864270	-149.417299
C_DJI_0451.JPG	60931.092137	6416957.537269	40.632041	-53.978288	-55.026201	-149.212928
C_DJI_0452.JPG	60931.545378	6416958.482029	40.652056	-53.466178	-55.509902	-148.589799
C_DJI_0453.JPG	60932.801949	6416960.494136	40.642091	-54.393410	-54.620738	-149.720792
C_DJI_0454.JPG	60933.315386	6416961.234788	40.592105	-54.311216	-54.701999	-149.620033
C_DJI_0455.JPG	60933.774045	6416962.049074	40.592119	-54.145587	-54.864270	-149.417299
C_DJI_0456.JPG	60934.179354	6416963.215495	40.552135	-54.062147	-54.945279	-149.315320
C_DJI_0457.JPG	60935.690989	6416965.884856	40.552180	-53.724167	-55.268448	-148.903261
C_DJI_0458.JPG	60936.519998	6416966.530492	40.562197	-54.145587	-54.864270	-149.417299
C_DJI_0459.JPG	60937.141061	6416967.037017	40.572210	-54.475194	-54.539393	-149.821150
C_DJI_0460.JPG	60937.951275	6416968.628970	40.602235	-53.809300	-55.187786	-149.006902
C_DJI_0461.JPG	60938.934069	6416970.371960	40.612265	-53.894007	-55.107037	-149.110123
C_DJI_0462.JPG	60939.031721	6416970.544714	40.592267	-54.311216	-54.701999	-149.620033
C_DJI_0463.JPG	60939.475135	6416971.715861	40.592284	-54.145587	-54.864270	-149.417299
C_DJI_0464.JPG	60936.796464	6416973.426423	40.592268	-39.176121	-47.920004	-137.672305
C_DJI_0465.JPG	60936.338581	6416972.325787	40.622251	-39.261828	-47.856776	-137.787838
C_DJI_0466.JPG	60935.290386	6416970.231067	40.302218	-39.176121	-47.920004	-137.672305
C_DJI_0467.JPG	60934.368094	6416968.806492	40.182192	-39.685961	-47.538909	-138.361291
